iter	Passed	Remaining
675	1065	510
676	1066	508
677	1068	507
678	1070	505
679	1073	505
680	1075	503
681	1077	502
682	1078	500
683	1080	499
684	1081	497
685	1082	495
686	1084	493
687	1087	493
688	1088	491
689	1090	489
690	1091	488
691	1092	486
692	1094	484
693	1096	483
694	1098	481
695	1099	480
696	1103	479
697	1105	478
698	1107	477
699	1109	475
700	1111	473
701	1112	472
702	1113	470
703	1114	468
704	1117	467
705	1118	465
706	1119	464
707	1120	462
708	1122	460
709	1123	458
710	1124	457
711	1125	455
712	1127	453
713	1128	451
714	1129	450
715	1130	448
716	1132	447
717	1134	445
718	1135	443
719	1136	442
720	1138	440
721	1139	438
722	1140	436
723	1141	435
724	1143	433
725	1144	431
726	1145	430
727	1147	428
728	1148	427
729	1150	425
730	1151	423
731	1152	422
732	1154	420
733	1155	418
734	1156	416
735	1157	415
736	1159	413
737	1160	411
738	1162	410
739	1164	408
740	1165	407
741	1166	405
742	1167	403
743	1169	402
744	1170	400
745	1171	398
746	1172	397
747	1173	395
748	1175	393
749	1176	392
750	1178	390
751	1179	388
752	1180	387
753	1180	385
754	1182	383
755	1183	381
756	1183	380
757	1184	378
758	1185	376
759	1187	374
760	1188	373
761	1189	371
762	1190	369
763	1192	368
764	1193	366
765	1194	364
766	1195	363
767	1196	361
768	1197	359
769	1198	358
770	1199	356
771	1200	354
772	1202	353
773	1203	351
774	1204	349
775	1205	347
776	1206	346
777	1208	344
778	1209	343
779	1210	341
780	1211	339
781	1212	337
782	1213	336
783	1214	334
784	1215	332
785	1216	331
786	1217	329
787	1218	327
788	1219	326
789	1220	324
790	1223	323
791	1224	321
792	1225	319
793	1226	318
794	1228	316
795	1229	315
796	1230	313
797	1231	311
798	1233	310
799	1234	308
800	1235	306
801	1238	305
802	1239	303
803	1240	302
804	1241	300
805	1242	299
806	1243	297
807	1244	295
808	1245	294
809	1247	292
810	1248	290
811	1249	289
812	1250	287
813	1253	286
814	1254	284
815	1255	283
816	1256	281
817	1257	279
818	1258	278
819	1260	276
820	1261	274
821	1262	273
822	1263	271
823	1264	270
824	1265	268
825	1268	267
826	1269	265
827	1270	264
828	1272	262
829	1273	260
830	1274	259
831	1275	257
832	1276	256
833	1278	254
834	1279	252
835	1280	251
836	1282	249
837	1284	248
838	1285	246
839	1286	245
840	1287	243
841	1288	241
842	1289	240
843	1291	238
844	1292	237
845	1293	235
846	1294	233
847	1295	232
848	1298	230
849	1300	229
850	1301	227
851	1302	226
852	1303	224
853	1304	223
854	1305	221
855	1307	219
856	1308	218
857	1309	216
858	1310	215
859	1311	213
860	1314	212
861	1315	210
862	1316	209
863	1317	207
864	1319	205
865	1320	204
866	1321	202
867	1322	201
868	1324	199
869	1325	198
870	1326	196
871	1329	195
872	1330	193
873	1331	191
874	1332	190
875	1333	188
876	1335	187
877	1336	185
878	1337	184
879	1338	182
880	1340	181
881	1341	179
882	1342	177
883	1344	176
884	1345	174
885	1346	173
886	1347	171
887	1349	170
888	1350	168
889	1351	167
890	1352	165
891	1353	163
892	1354	162
893	1356	160
894	1357	159
895	1359	157
896	1360	156
897	1361	154
898	1363	153
899	1364	151
900	1365	150
901	1366	148
902	1367	146
903	1368	145
904	1370	143
905	1371	142
906	1372	140
907	1374	139
908	1376	137
909	1377	136
910	1378	134
911	1379	133
912	1380	131
913	1381	130
914	1382	128
915	1384	126
916	1385	125
917	1386	123
918	1388	122
919	1389	120
920	1390	119
921	1392	117
922	1393	116
923	1394	114
924	1395	113
925	1396	111
926	1397	110
927	1399	108
928	1400	107
929	1401	105
930	1404	104
931	1405	102
932	1406	101
933	1407	99
934	1410	98
935	1412	96
936	1414	95
937	1415	93
938	1416	92
939	1420	90
940	1422	89
941	1423	87
942	1426	86
943	1429	84
944	1434	83
945	1437	82
946	1439	80
947	1441	79
948	1443	77
949	1444	76
950	1445	74
951	1447	72
952	1449	71
953	1450	69
954	1451	68
955	1452	66
956	1453	65
957	1455	63
958	1456	62
959	1457	60
960	1458	59
961	1459	57
962	1461	56
963	1462	54
964	1464	53
965	1466	51
966	1467	50
967	1468	48
968	1470	47
969	1471	45
970	1472	43
971	1473	42
972	1474	40
973	1475	39
974	1477	37
975	1478	36
976	1480	34
977	1481	33
978	1482	31
979	1483	30
980	1485	28
981	1486	27
982	1487	25
983	1488	24
984	1489	22
985	1490	21
986	1491	19
987	1493	18
988	1495	16
989	1497	15
990	1498	13
991	1499	12
992	1500	10
993	1501	9
994	1502	7
995	1503	6
996	1505	4
997	1506	3
998	1507	1
999	1508	0
